protein_id,viral_family
sp|P0DOK1|POLSF_CHIKS,Togaviridae
sp|Q8JUX6|POLN_CHIKS,Togaviridae
sp|Q8JUX5|POLS_CHIKS,Togaviridae
sp|Q32ZE1|POLG_ZIKV,Flaviviridae
sp|P0DXN9|UORF_ZIKV,Flaviviridae
sp|P21401|GP_RVFVZ,Phenuiviridae
sp|P21698|NSS_RVFVZ,Phenuiviridae
sp|P27316|L_RVFVZ,Phenuiviridae
sp|P21700|NCAP_RVFVZ,Phenuiviridae
sp|P17763|POLG_DEN1W,Flaviviridae
sp|P89522|NCAP_CCHFI,Nairoviridae
sp|Q6TQR6|L_CCHFI,Nairoviridae
sp|Q8JSZ3|GP_CCHFI,Nairoviridae
sp|P0DTL3|NSS_CCHFI,Nairoviridae
sp|P03314|POLG_YEFV1,Flaviviridae
sp|Q83883|POLG_NVN68,Caliciviridae
sp|Q83884|CAPSD_NVN68,Caliciviridae
sp|Q83885|VP2_NVN68,Caliciviridae
sp|Q672I1|POLG_SVSAP,Caliciviridae
sp|Q672H9|VP2_SVSAP,Caliciviridae
sp|Q672I0|VP3_SVSAP,Caliciviridae
sp|P08617|POLG_HAVHM,Picornaviridae
sp|Q81862|POLN_HEVCH,Hepeviridae
sp|Q81871|CAPSD_HEVCH,Hepeviridae
sp|Q81870|ORF3_HEVCH,Hepeviridae
sp|O73556|POLG_HPE2W,Picornaviridae
sp|O12792|CAPSD_HASV1,Astroviridae
sp|P0C6K4|NS1A_HASV1,Astroviridae
sp|Q67726|NS1AB_HASV1,Astroviridae
sp|O73557|Z_LASSJ,Arenaviridae
sp|P08669|GLYC_LASSJ,Arenaviridae
sp|P13699|NCAP_LASSJ,Arenaviridae
sp|O09705|L_LASSJ,Arenaviridae
sp|P31352|L_MABVM,Filoviridae
sp|P35253|VGP_MABVM,Filoviridae
sp|P35260|VP40_MABVM,Filoviridae
sp|P27588|NCAP_MABVM,Filoviridae
sp|P35259|VP35_MABVM,Filoviridae
sp|P35256|VP24_MABVM,Filoviridae
sp|P35258|VP30_MABVM,Filoviridae
sp|P18272|NCAP_EBOZM,Filoviridae
sp|P60170|VSGP_EBOZM,Filoviridae
sp|Q05127|VP35_EBOZM,Filoviridae
sp|Q05128|VP40_EBOZM,Filoviridae
sp|Q05318|L_EBOZM,Filoviridae
sp|Q05320|VGP_EBOZM,Filoviridae
sp|Q05322|VP24_EBOZM,Filoviridae
sp|Q05323|VP30_EBOZM,Filoviridae
sp|Q9YMG2|VSSGP_EBOZM,Filoviridae
sp|P0C045|F_HCV77,Flaviviridae
sp|P27958|POLG_HCV77,Flaviviridae
sp|Q69027|X_HBVCJ,Hepadnaviridae
sp|Q76R61|CAPSD_HBVCJ,Hepadnaviridae
sp|Q76R62|HBSAG_HBVCJ,Hepadnaviridae
sp|P0C767|HBEAG_HBVCJ,Hepadnaviridae
sp|Q69028|DPOL_HBVCJ,Hepadnaviridae
sp|P52351|SCAF_HHV7J,Herpesviridae
sp|P52352|GB_HHV7J,Herpesviridae
sp|P52353|GH_HHV7J,Herpesviridae
sp|P52358|CEP3_HHV7J,Herpesviridae
sp|P52362|LTP_HHV7J,Herpesviridae
sp|P52366|GN_HHV7J,Herpesviridae
sp|P52372|GM_HHV7J,Herpesviridae
sp|P52509|GL_HHV7J,Herpesviridae
sp|P52525|GO_HHV7J,Herpesviridae
sp|P50639|UNG_HHV7J,Herpesviridae
sp|P50641|RIR1_HHV7J,Herpesviridae
sp|P52339|DNBI_HHV7J,Herpesviridae
sp|P52341|DUT_HHV7J,Herpesviridae
sp|P52342|DPOL_HHV7J,Herpesviridae
sp|P52344|GCVK_HHV7J,Herpesviridae
sp|P52346|AN_HHV7J,Herpesviridae
sp|P52347|MCP_HHV7J,Herpesviridae
sp|P52349|TRX1_HHV7J,Herpesviridae
sp|P52355|ICP27_HHV7J,Herpesviridae
sp|P52357|HELI_HHV7J,Herpesviridae
sp|P52359|CEP2_HHV7J,Herpesviridae
sp|P52360|CVC1_HHV7J,Herpesviridae
sp|P52361|NEC1_HHV7J,Herpesviridae
sp|P52376|HEPA_HHV7J,Herpesviridae
sp|P52379|OBP_HHV7J,Herpesviridae
sp|P52381|UL33_HHV7J,Herpesviridae
sp|P52383|VU51_HHV7J,Herpesviridae
sp|P52385|TRM1_HHV7J,Herpesviridae
sp|P52386|UL24_HHV7J,Herpesviridae
sp|P52388|CVC2_HHV7J,Herpesviridae
sp|P52438|ITP_HHV7J,Herpesviridae
sp|P52440|VPAP_HHV7J,Herpesviridae
sp|P52455|PORTL_HHV7J,Herpesviridae
sp|P52458|CEP1_HHV7J,Herpesviridae
sp|P52462|TRM3_HHV7J,Herpesviridae
sp|P52464|UL32_HHV7J,Herpesviridae
sp|P52466|NEC2_HHV7J,Herpesviridae
sp|P52468|PRIM_HHV7J,Herpesviridae
sp|P52474|TEG7_HHV7J,Herpesviridae
sp|P52519|P100_HHV7J,Herpesviridae
sp|P52531|U79_HHV7J,Herpesviridae
sp|P60505|U21_HHV7J,Herpesviridae
sp|P68321|TRX2_HHV7J,Herpesviridae
sp|Q69505|U24_HHV7J,Herpesviridae
sp|P52363|UL87_HHV7J,Herpesviridae
sp|P52364|UL88_HHV7J,Herpesviridae
sp|P52365|UL91_HHV7J,Herpesviridae
sp|P52442|UL49_HHV7J,Herpesviridae
sp|P52445|VU26_HHV7J,Herpesviridae
sp|P52470|UL79_HHV7J,Herpesviridae
sp|P52471|UL92_HHV7J,Herpesviridae
sp|P52472|UL95_HHV7J,Herpesviridae
sp|P52475|UL96_HHV7J,Herpesviridae
sp|P52516|VU54_HHV7J,Herpesviridae
sp|P52517|V55A_HHV7J,Herpesviridae
sp|P52518|V55B_HHV7J,Herpesviridae
sp|P52520|VU3_HHV7J,Herpesviridae
sp|P52521|VU4_HHV7J,Herpesviridae
sp|P52522|VU5_HHV7J,Herpesviridae
sp|P52523|VU8_HHV7J,Herpesviridae
sp|P52524|VU10_HHV7J,Herpesviridae
sp|P52528|VU25_HHV7J,Herpesviridae
sp|P52534|VU84_HHV7J,Herpesviridae
sp|P03186|LTP_EBVB9,Herpesviridae
sp|P03188|GB_EBVB9,Herpesviridae
sp|P03191|EAD_EBVB9,Herpesviridae
sp|P03200|GP350_EBVB9,Herpesviridae
sp|P03205|GP42_EBVB9,Herpesviridae
sp|P03206|BZLF1_EBVB9,Herpesviridae
sp|P03208|BILF1_EBVB9,Herpesviridae
sp|P03211|EBNA1_EBVB9,Herpesviridae
sp|P03230|LMP1_EBVB9,Herpesviridae
sp|P03231|GH_EBVB9,Herpesviridae
sp|P03234|SCAF_EBVB9,Herpesviridae
sp|P12978|EBNA2_EBVB9,Herpesviridae
sp|P13285|LMP2_EBVB9,Herpesviridae
sp|P13288|KR2_EBVB9,Herpesviridae
sp|Q04360|ICP27_EBVB9,Herpesviridae
sp|Q8AZK7|EBNA5_EBVB9,Herpesviridae
sp|P03180|IL10H_EBVB9,Herpesviridae
sp|P03182|EAR_EBVB9,Herpesviridae
sp|P03185|NEC2_EBVB9,Herpesviridae
sp|P03192|BMRF2_EBVB9,Herpesviridae
sp|P03195|DUT_EBVB9,Herpesviridae
sp|P03198|DPOL_EBVB9,Herpesviridae
sp|P03204|EBNA6_EBVB9,Herpesviridae
sp|P03209|BRLF1_EBVB9,Herpesviridae
sp|P03212|GL_EBVB9,Herpesviridae
sp|P03215|GM_EBVB9,Herpesviridae
sp|P03217|AN_EBVB9,Herpesviridae
sp|P03228|BARF1_EBVB9,Herpesviridae
sp|P0C739|BNL2A_EBVB9,Herpesviridae
sp|P0CK51|CEP3_EBVB9,Herpesviridae
sp|P0CK53|CEP2_EBVB9,Herpesviridae
sp|P12977|EBNA3_EBVB9,Herpesviridae
sp|P03177|KITH_EBVB9,Herpesviridae
sp|P03179|MTP_EBVB9,Herpesviridae
sp|P03190|RIR1_EBVB9,Herpesviridae
sp|P03193|PRIM_EBVB9,Herpesviridae
sp|P03196|GN_EBVB9,Herpesviridae
