virus_protein_id,rank,human_protein_id,distance,similarity,cluster_id,primary_cluster,embedding_similarity,virus_mimicry_score
sp|P27958|POLG_HCV77,2,sp|M5A8F1|SUPYN_HUMAN,0.179425,0.820575,37,37,0.457922,0.639248
sp|P27958|POLG_HCV77,3,sp|Q9NXF7|DCA16_HUMAN,0.183698,0.816302,37,37,0.403194,0.609748
sp|P27958|POLG_HCV77,5,sp|Q5VYS4|MEDAG_HUMAN,0.185306,0.814694,37,37,0.381968,0.598331
sp|Q69027|X_HBVCJ,5,sp|Q7Z4H9|F220A_HUMAN,0.152905,0.847095,36,36,0.379755,0.613425
sp|Q76R61|CAPSD_HBVCJ,1,sp|Q9NXF7|DCA16_HUMAN,0.119186,0.880814,37,37,0.270584,0.575699
sp|Q76R61|CAPSD_HBVCJ,4,sp|O15145|ARPC3_HUMAN,0.134262,0.865738,37,37,0.325084,0.595411
sp|Q76R62|HBSAG_HBVCJ,1,sp|Q9H0J4|QRIC2_HUMAN,0.288808,0.711192,885,885,0.252261,0.481727
sp|Q76R62|HBSAG_HBVCJ,2,sp|Q4ZHG4|FNDC1_HUMAN,0.336602,0.663398,885,885,0.267487,0.465442
sp|Q76R62|HBSAG_HBVCJ,3,sp|O75339|CILP1_HUMAN,0.339187,0.660813,885,885,0.208706,0.434760
sp|Q76R62|HBSAG_HBVCJ,4,sp|Q8NEC5|CTSR1_HUMAN,0.345770,0.654230,885,885,0.241062,0.447646
sp|P0C767|HBEAG_HBVCJ,1,sp|Q9NXF7|DCA16_HUMAN,0.119032,0.880968,37,37,0.289006,0.584987
sp|P0C767|HBEAG_HBVCJ,3,sp|O15145|ARPC3_HUMAN,0.128401,0.871599,37,37,0.245013,0.558306
sp|P0C767|HBEAG_HBVCJ,4,sp|M5A8F1|SUPYN_HUMAN,0.128444,0.871556,37,37,0.479472,0.675514
sp|Q69028|DPOL_HBVCJ,1,sp|Q6NUM6|TYW1B_HUMAN,0.234570,0.765430,422,422,0.322124,0.543777
sp|Q69028|DPOL_HBVCJ,2,sp|Q6PIW4|FIGL1_HUMAN,0.240459,0.759541,422,422,0.316782,0.538162
sp|Q69028|DPOL_HBVCJ,3,sp|Q96TA2|YMEL1_HUMAN,0.241960,0.758040,422,422,0.320346,0.539193
sp|Q69028|DPOL_HBVCJ,4,sp|Q9NV66|TYW1_HUMAN,0.247283,0.752717,422,422,0.322109,0.537413
sp|Q69028|DPOL_HBVCJ,5,sp|P15918|RAG1_HUMAN,0.251171,0.748829,422,422,0.354565,0.551697
sp|P03070|LT_SV40,1,sp|Q02880|TOP2B_HUMAN,0.256863,0.743137,582,582,0.324986,0.534062
sp|P03070|LT_SV40,2,sp|P11388|TOP2A_HUMAN,0.264974,0.735026,582,582,0.352701,0.543864
sp|P03070|LT_SV40,3,sp|Q13547|HDAC1_HUMAN,0.273229,0.726771,582,582,0.311317,0.519044
sp|P03070|LT_SV40,4,sp|Q92769|HDAC2_HUMAN,0.274874,0.725126,582,582,0.303128,0.514127
sp|P03070|LT_SV40,5,sp|P11387|TOP1_HUMAN,0.282327,0.717673,582,582,0.381668,0.549671
sp|P03087|VP1_SV40,2,sp|O15145|ARPC3_HUMAN,0.132851,0.867149,37,37,0.316298,0.591723
sp|P03087|VP1_SV40,3,sp|P47874|OMP_HUMAN,0.137886,0.862114,37,37,0.230378,0.546246
sp|P03087|VP1_SV40,4,sp|Q92561|PHYIP_HUMAN,0.154475,0.845525,37,37,0.261107,0.553316
sp|P03093|VP2_SV40,1,sp|Q5T9A4|ATD3B_HUMAN,0.324377,0.675623,422,422,0.370393,0.523008
sp|P03093|VP2_SV40,2,sp|Q9NVI7|ATD3A_HUMAN,0.334096,0.665904,422,422,0.371593,0.518749
sp|P03093|VP2_SV40,3,sp|P49585|PCY1A_HUMAN,0.368154,0.631846,422,422,0.201815,0.416831
sp|P03093|VP2_SV40,4,sp|Q96TA2|YMEL1_HUMAN,0.372025,0.627975,422,422,0.231863,0.429919
sp|P03093|VP2_SV40,5,sp|Q9NV66|TYW1_HUMAN,0.372178,0.627822,422,422,0.280937,0.454380
sp|P03081|ST_SV40,2,sp|Q9H3Z4|DNJC5_HUMAN,0.274449,0.725551,252,728,0.333157,0.529354
sp|P03081|ST_SV40,3,sp|Q9UKB3|DJC12_HUMAN,0.286140,0.713860,728,728,0.316652,0.515256
